OBJECTID,problem,personSearch,vehicleSearch,preRace,race,gender,policePrecinct
98317,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,4.0
78310,Suspicious Person (P),NO,NO,Other,Other,Female,3.0
89829,Traffic Law Enforcement (P),NO,NO,White,White,Female,2.0
102097,Suspicious Vehicle (P),YES,YES,Black,Black,Male,3.0
130749,Suspicious Person (P),NO,NO,Black,Black,Male,4.0
120406,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,5.0
58981,Traffic Law Enforcement (P),NO,NO,White,White,Male,5.0
5608,Suspicious Person (P),NO,NO,White,White,Male,1.0
29459,Suspicious Person (P),YES,NO,Black,Black,Male,3.0
103664,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,2.0
143821,Suspicious Person (P),NO,NO,Black,Black,Male,2.0
96635,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
51797,Suspicious Person (P),NO,NO,Native American,Native American,Male,3.0
50385,Traffic Law Enforcement (P),YES,YES,White,White,Male,2.0
40780,Suspicious Person (P),YES,NO,Native American,Native American,Male,3.0
70205,Suspicious Vehicle (P),YES,YES,Black,Black,Male,4.0
113770,Suspicious Vehicle (P),NO,NO,White,White,Male,1.0
77709,Suspicious Person (P),YES,YES,Native American,Native American,Male,3.0
19974,Suspicious Person (P),NO,NO,White,White,Male,5.0
50440,Suspicious Person (P),NO,NO,Black,Black,Male,4.0
36928,Suspicious Person (P),YES,NO,Black,Black,Male,3.0
94896,Suspicious Person (P),YES,NO,Black,Black,Female,1.0
25693,Suspicious Vehicle (P),YES,YES,Black,Black,Male,3.0
156462,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
24744,Suspicious Person (P),NO,NO,East African,East African,Male,5.0
157432,Traffic Law Enforcement (P),NO,NO,Black,Black,Female,5.0
47844,Traffic Law Enforcement (P),NO,NO,White,White,Male,1.0
26075,Suspicious Person (P),NO,NO,Native American,Native American,Male,3.0
74907,Suspicious Vehicle (P),NO,NO,Black,Black,Male,4.0
73458,Suspicious Person (P),NO,NO,East African,East African,Male,1.0
40747,Suspicious Vehicle (P),NO,NO,Black,Black,Male,1.0
8733,Traffic Law Enforcement (P),NO,NO,Asian,Asian,Female,2.0
20613,Suspicious Person (P),YES,NO,Native American,Native American,Male,5.0
2500,Suspicious Person (P),NO,NO,Black,Black,Male,5.0
47262,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,5.0
125355,Suspicious Person (P),YES,NO,White,White,Female,5.0
158536,Suspicious Person (P),YES,YES,Black,Black,Male,3.0
19977,Suspicious Vehicle (P),NO,NO,White,Black,Male,5.0
16613,Suspicious Person (P),YES,NO,Black,Black,Male,1.0
75884,Traffic Law Enforcement (P),NO,NO,White,White,Male,5.0
149934,Suspicious Person (P),NO,NO,White,White,Male,5.0
64133,Suspicious Person (P),NO,NO,White,White,Male,1.0
83337,Suspicious Person (P),NO,NO,White,White,Male,1.0
13981,Attempt Pick-Up (P),NO,NO,White,White,Male,1.0
123516,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
100790,Traffic Law Enforcement (P),NO,NO,White,White,Male,2.0
149554,Suspicious Person (P),NO,NO,White,White,Male,1.0
107396,Suspicious Person (P),NO,NO,White,White,Male,2.0
76230,Suspicious Vehicle (P),NO,NO,Other,Black,Male,3.0
26043,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,5.0
13331,Traffic Law Enforcement (P),YES,NO,Native American,Native American,Female,4.0
