OBJECTID,problem,personSearch,vehicleSearch,preRace,race,gender,policePrecinct
80485,Suspicious Person (P),NO,NO,Black,Black,Male,4.0
5103,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
88986,Suspicious Vehicle (P),NO,NO,Latino,Latino,Male,3.0
26244,Traffic Law Enforcement (P),NO,NO,Black,Black,Female,4.0
39370,Suspicious Vehicle (P),NO,NO,Black,Black,Male,2.0
33044,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
44248,Suspicious Vehicle (P),NO,NO,Black,Black,Male,4.0
36978,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,4.0
128766,Traffic Law Enforcement (P),YES,YES,Black,Black,Male,3.0
15,Attempt Pick-Up (P),YES,NO,Black,Black,Male,4.0
35346,Suspicious Vehicle (P),YES,NO,Black,Black,Male,2.0
24695,Suspicious Person (P),NO,NO,Black,Black,Male,3.0
29713,Traffic Law Enforcement (P),YES,YES,Black,Black,Male,1.0
129065,Suspicious Person (P),NO,NO,Native American,Native American,Male,2.0
47780,Traffic Law Enforcement (P),NO,NO,Black,Black,Female,2.0
15526,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,2.0
151708,Suspicious Person (P),NO,NO,White,White,Female,1.0
48880,Suspicious Person (P),NO,NO,White,White,Female,2.0
3601,Suspicious Vehicle (P),YES,YES,Black,Black,Male,3.0
130740,Suspicious Person (P),NO,NO,Black,Black,Male,3.0
68105,Traffic Law Enforcement (P),YES,YES,Black,Black,Male,4.0
101389,Attempt Pick-Up (P),YES,NO,White,White,Male,3.0
64908,Traffic Law Enforcement (P),NO,NO,White,East African,Male,5.0
34295,Traffic Law Enforcement (P),YES,YES,Black,Black,Male,4.0
86901,Suspicious Person (P),NO,NO,Native American,Native American,Male,3.0
27356,Suspicious Person (P),NO,NO,White,White,Male,5.0
17718,Suspicious Vehicle (P),YES,YES,White,White,Male,5.0
110946,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
54736,Suspicious Person (P),NO,NO,White,White,Male,5.0
105300,Suspicious Person (P),YES,NO,Black,Black,Male,1.0
19585,Suspicious Vehicle (P),NO,NO,White,White,Male,2.0
155925,Traffic Law Enforcement (P),NO,NO,Black,Black,Female,5.0
147625,Suspicious Person (P),NO,NO,White,White,Male,3.0
67552,Traffic Law Enforcement (P),NO,NO,Black,Black,Female,2.0
157007,Suspicious Person (P),NO,NO,Asian,Asian,Male,4.0
154090,Suspicious Person (P),YES,NO,White,White,Female,1.0
105270,Suspicious Person (P),NO,NO,White,White,Male,2.0
129607,Attempt Pick-Up (P),NO,NO,East African,East African,Male,1.0
21538,Suspicious Person (P),YES,NO,Black,Black,Male,4.0
55441,Suspicious Vehicle (P),NO,NO,White,White,Male,4.0
145639,Suspicious Person (P),NO,NO,Black,Black,Male,4.0
69481,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,1.0
76259,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
74256,Suspicious Person (P),NO,NO,White,White,Male,1.0
